+-------------+ Condor Instruments Report +-------------+
SOFTWARE_VERSION : 1.0.13
SUBJECT_NAME : Piloto ActTrust
SUBJECT_GENDER : Other
SUBJECT_DATE_OF_BIRTH : 01/01/2000
SUBJECT_DESCRIPTION : Primeiro dia de teste piloto
DEVICE_ID : 3052
DEVICE_MODEL : ActTrust1
HARDWARE_VERSION : 3.5
FIRMWARE_VERSION : 3.8
MEMORY_SIZE : 7987712
LOG_SIZE : 1293039
BATTERY_VOLTAGE : 4.21875
ERROR_FLAG : 0
ERROR_CODE : 0
POWER_DOWN_FLAG : 0
TAT_THRESHOLD : 1024
ORIENTATION : 0
MODE : PIM/TAT/ZCM
INTERVAL : 1
DATA_CORRECTION : 0
DATA_CORRECTION_DESCRIPTION : Nenhum
DATE_TIME : 11/04/2022 13:42:22
+-------------------------------------------------------+
DATE/TIME;PIM
21/03/2022 10:31:22;888
21/03/2022 10:31:23;1006
21/03/2022 10:31:24;914
21/03/2022 10:31:25;845
21/03/2022 10:31:26;930
21/03/2022 10:31:27;816
21/03/2022 10:31:28;803
21/03/2022 10:31:29;857
21/03/2022 10:31:30;831
21/03/2022 10:31:31;920
21/03/2022 10:31:32;901
21/03/2022 10:31:33;853
21/03/2022 10:31:34;809
21/03/2022 10:31:35;944
21/03/2022 10:31:36;892
21/03/2022 10:31:37;814
21/03/2022 10:31:38;823
21/03/2022 10:31:39;897
21/03/2022 10:31:40;840
21/03/2022 10:31:41;908
21/03/2022 10:31:42;831
21/03/2022 10:31:43;966
21/03/2022 10:31:44;904
21/03/2022 10:31:45;940
21/03/2022 10:31:46;893
21/03/2022 10:31:47;900
21/03/2022 10:31:48;975
21/03/2022 10:31:49;984
21/03/2022 10:31:50;980
21/03/2022 10:31:51;901
21/03/2022 10:31:52;928
21/03/2022 10:31:53;940
21/03/2022 10:31:54;790
21/03/2022 10:31:55;841
21/03/2022 10:31:56;898
21/03/2022 10:31:57;984
21/03/2022 10:31:58;948
21/03/2022 10:31:59;878
21/03/2022 10:32:00;874
21/03/2022 10:32:01;920
21/03/2022 10:32:02;869
21/03/2022 10:32:03;881
21/03/2022 10:32:04;767
21/03/2022 10:32:05;757
21/03/2022 10:32:06;691
21/03/2022 10:32:07;943
21/03/2022 10:32:08;1012
21/03/2022 10:32:09;939
21/03/2022 10:32:10;866
21/03/2022 10:32:11;953
21/03/2022 10:32:12;894
21/03/2022 10:32:13;928
21/03/2022 10:32:14;936
21/03/2022 10:32:15;1002
21/03/2022 10:32:16;918
21/03/2022 10:32:17;948
21/03/2022 10:32:18;980
21/03/2022 10:32:19;912
21/03/2022 10:32:20;931
21/03/2022 10:32:21;871
21/03/2022 10:32:22;979
21/03/2022 10:32:23;819
21/03/2022 10:32:24;822
21/03/2022 10:32:25;902
21/03/2022 10:32:26;893
21/03/2022 10:32:27;850
21/03/2022 10:32:28;935
21/03/2022 10:32:29;926
21/03/2022 10:32:30;997
21/03/2022 10:32:31;912
21/03/2022 10:32:32;984
21/03/2022 10:32:33;1022
21/03/2022 10:32:34;1021
21/03/2022 10:32:35;837
21/03/2022 10:32:36;909
21/03/2022 10:32:37;898
21/03/2022 10:32:38;833
21/03/2022 10:32:39;803
21/03/2022 10:32:40;983
21/03/2022 10:32:41;856
21/03/2022 10:32:42;892
21/03/2022 10:32:43;868
21/03/2022 10:32:44;803
21/03/2022 10:32:45;831
21/03/2022 10:32:46;775
21/03/2022 10:32:47;887
21/03/2022 10:32:48;862
21/03/2022 10:32:49;822
21/03/2022 10:32:50;756
21/03/2022 10:32:51;938
21/03/2022 10:32:52;883
21/03/2022 10:32:53;891
21/03/2022 10:32:54;990
21/03/2022 10:32:55;1026
21/03/2022 10:32:56;1004
21/03/2022 10:32:57;991
21/03/2022 10:32:58;1029
21/03/2022 10:32:59;862
21/03/2022 10:33:00;975
21/03/2022 10:33:01;1013
21/03/2022 10:33:02;1119
21/03/2022 10:33:03;1023
21/03/2022 10:33:04;1092
21/03/2022 10:33:05;1001
21/03/2022 10:33:06;948
21/03/2022 10:33:07;961
21/03/2022 10:33:08;891
21/03/2022 10:33:09;884
21/03/2022 10:33:10;938
